p1 | MaxLen - | Last name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].lastName[0]
p1 | MaxLen - | First name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].firstName[0]
p1 | MaxLen - | Date of birth | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dateOfBirth[0]
p1 | MaxLen - | Social Security Number or ITIN | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].ssnITIN[0]
p1 | MaxLen - | Home physical address | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].homePhysicalAddress[0]
p1 | MaxLen - | Marital status [Unmarried] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].maritalStatus[0].statusUnmarried[0]
p1 | MaxLen - | Unmarried [Married] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].maritalStatus[0].statusMarried[0]
p1 | MaxLen - | Do you [Own your home] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].ownYourHome[0]
p1 | MaxLen - | Own your home [Rent] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].rent[0]
p1 | MaxLen - | Do you [Other] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].otherSpecify[0]
p1 | MaxLen - | If married, date of marriage | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].maritalStatus[0].dateOfMarrage[0]
p1 | MaxLen - | Other | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].otherSpecifyLiving[0]
p1 | MaxLen - | If married, date of marriage [If you were married and lived in AZ, CA, ID, LA, NM, NV, TX, WA or WI within the last ten years check here] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].marriedLivedIn[0]
p1 | MaxLen - | County of residence | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].Col1[0].countyOfResidence[0]
p1 | MaxLen - | Primary phone | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].Col1[0].primaryPhone[0]
p1 | MaxLen - | Home mailing address | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].homeMailingAddress[0]
p1 | MaxLen - | Secondary phone | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].Col1[0].secondaryPhone[0]
p1 | MaxLen - | FAX number | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].Col1[0].faxNumber[0]
p1 | MaxLen - | Spouse's last name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].spouseLastName[0]
p1 | MaxLen - | Spouse's first name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].spouseFirstName[0]
p1 | MaxLen - | Date of birth | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].spouseDateBirth[0]
p1 | MaxLen - | Social Security Number | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].spouseSSN[0]
p1 | MaxLen - | Name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Name_01[0]
p1 | MaxLen 4 | Age | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Age_01[0]
p1 | MaxLen - | Relationship | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Relationship_01[0]
p1 | MaxLen - | on your Form 1040 [Yes] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Dependent[0].CB_06[0]
p1 | MaxLen - | on your Form 1040 [No] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Dependent[0].CB_07[0]
p1 | MaxLen - | household income [Yes] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Contributes[0].CB_08[0]
p1 | MaxLen - | household income [No] | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row1[0].Contributes[0].CB_09[0]
p1 | MaxLen - | Name | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row2[0].Name_02[0]
p1 | MaxLen 4 | Age | topmostSubform[0].F433-A-OIC_Page1[0].Section1[0].dependentListing[0].Row2[0].Age_02[0]
