433b: 51 checkboxes
  on=/Partnership topmostSubform[0].Page1[0].c1_0_2b[0]
  on=/Corporation topmostSubform[0].Page1[0].c1_0_2b[1]
  on=/Other       topmostSubform[0].Page1[0].c1_0_2b[2]
  on=/LLC         topmostSubform[0].Page1[0].c1_0_2b[3]
  on=/Other#20LLC topmostSubform[0].Page1[0].c1_0_2b[4]
  on=/Yes         topmostSubform[0].Page1[0].c1_1[0]
  on=/No          topmostSubform[0].Page1[0].c1_1[1]
  on=/Yes         topmostSubform[0].Page1[0].c1_2_[0]
  on=/No          topmostSubform[0].Page1[0].c1_2_[1]
  on=/Yes         topmostSubform[0].Page1[0].Line7a_Col1[0].c1_01_7a[0]
  on=/No          topmostSubform[0].Page1[0].Line7a_Col1[0].c1_01_7a[1]
  on=/Yes         topmostSubform[0].Page1[0].Line7b_Col1[0].c1_02_7b[0]
  on=/No          topmostSubform[0].Page1[0].Line7b_Col1[0].c1_02_7b[1]
  on=/Yes         topmostSubform[0].Page1[0].Line7c_Col1[0].c1_03_7c[0]
  on=/No          topmostSubform[0].Page1[0].Line7c_Col1[0].c1_03_7c[1]
  on=/Yes         topmostSubform[0].Page1[0].Line7d_Col1[0].c1_04_7d[0]
  on=/No          topmostSubform[0].Page1[0].Line7d_Col1[0].c1_04_7d[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_1_8[0]
  on=/No          topmostSubform[0].Page2[0].c2_1_8[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_3_9[0]
  on=/No          topmostSubform[0].Page2[0].c2_3_9[1]
  on=/Plaintiff   topmostSubform[0].Page2[0].c2_4_9[0]
  on=/Defendent   topmostSubform[0].Page2[0].c2_4_9[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_5_10[0]
  on=/No          topmostSubform[0].Page2[0].c2_5_10[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_6_11[0]
  on=/No          topmostSubform[0].Page2[0].c2_6_11[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_7_12[0]
  on=/No          topmostSubform[0].Page2[0].c2_7_12[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_8_13[0]
  on=/No          topmostSubform[0].Page2[0].c2_8_13[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_9_14[0]
  on=/No          topmostSubform[0].Page2[0].c2_9_14[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_10_17[0]
  on=/No          topmostSubform[0].Page2[0].c2_10_17[1]
  on=/Yes         topmostSubform[0].Page2[0].c2_11_17[0]
  on=/No          topmostSubform[0].Page2[0].c2_11_17[1]
  on=/Yes         topmostSubform[0].Page3[0].Table_line19[0].Line19a[0].#subform[1].c3_3_19[0]
  on=/No          topmostSubform[0].Page3[0].Table_line19[0].Line19a[0].#subform[1].c3_3_19[1]
  on=/Yes         topmostSubform[0].Page3[0].Table_line19[0].Line19c[0].#subform[1].c3_5_19[0]
  on=/No          topmostSubform[0].Page3[0].Table_line19[0].Line19c[0].#subform[1].c3_5_19[1]
  on=/Yes         topmostSubform[0].Page3[0].RetirementAcct1[0].Table_Line14de[0].Row13a[0].#subform[0].digiUsed[0]
  on=/No          topmostSubform[0].Page3[0].RetirementAcct1[0].Table_Line14de[0].Row13a[0].#subform[0].digiUsed[1]
  on=/Yes         topmostSubform[0].Page3[0].RetirementAcct1[0].Table_Line14de[0].Row13b[0].#subform[0].digiUsed2[0]
  on=/No          topmostSubform[0].Page3[0].RetirementAcct1[0].Table_Line14de[0].Row13b[0].#subform[0].digiUsed2[1]
  on=/Secured     topmostSubform[0].Page5[0].Secured[0].p5_1_24a[0]
  on=/Unsecured   topmostSubform[0].Page5[0].Secured[0].p5_1_24a[1]
  on=/Secured     topmostSubform[0].Page5[0].SecUNsec24b[0].p5_5_24b[0]
  on=/Unsecured   topmostSubform[0].Page5[0].SecUNsec24b[0].p5_5_24b[1]
  on=/Cash        topmostSubform[0].Page6[0].p6_01_Sec5[0]
  on=/Accrual     topmostSubform[0].Page6[0].p6_01_Sec5[1]
