p1 | MaxLen - | Business name | topmostSubform[0].F433-B-OIC_Page1[0].Business_Name[0]
p1 | MaxLen - | Employer Identification Number | topmostSubform[0].F433-B-OIC_Page1[0].EIN[0]
p1 | MaxLen - | Business physical address | topmostSubform[0].F433-B-OIC_Page1[0].Col1a[0].Business_Address[0]
p1 | MaxLen - | County of business location | topmostSubform[0].F433-B-OIC_Page1[0].County_Business_Location[0]
p1 | MaxLen - | Description of business and DBA or "Trade Name" | topmostSubform[0].F433-B-OIC_Page1[0].Description_Business_DBA[0]
p1 | MaxLen - | Primary phone | topmostSubform[0].F433-B-OIC_Page1[0].Col1a[0].PrimaryPhone[0]
p1 | MaxLen - | Secondary phone | topmostSubform[0].F433-B-OIC_Page1[0].Col1a[0].SecondaryPhone[0]
p1 | MaxLen - | Business mailing address | topmostSubform[0].F433-B-OIC_Page1[0].Mailing_Address[0]
p1 | MaxLen - | Business website address | topmostSubform[0].F433-B-OIC_Page1[0].Col1a[0].Business_Web_Address[0]
p1 | MaxLen - | FAX number | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].FaxNumber[0]
p1 | MaxLen - | preparation for a fee [Yes] | topmostSubform[0].F433-B-OIC_Page1[0].Col2b[0].C1_03[0]
p1 | MaxLen - | preparation for a fee [No] | topmostSubform[0].F433-B-OIC_Page1[0].Col2b[0].C1_04[0]
p1 | MaxLen - | Federal contractor [Yes] | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].FederalContractor[0].C1_01[0]
p1 | MaxLen - | Federal contractor [No] | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].FederalContractor[0].C1_02[0]
p1 | MaxLen - | Frequency of tax deposits | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].EmployeesNumber[0].Total_Number_Employees[0]
p1 | MaxLen - | Total number of employees [Check here if you are the only employee] | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].EmployeesNumber[0].OnlyEmployee[0]
p1 | MaxLen - | (street, city, state, ZIP code) | topmostSubform[0].F433-B-OIC_Page1[0].Col2b[0].Provider_Name_Address[0]
p1 | MaxLen - | Frequency of tax deposits | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].Frequency_Tax_Deposits[0]
p1 | MaxLen - | Average gross monthly payroll | topmostSubform[0].F433-B-OIC_Page1[0].Col1b[0].Average_Gross_Monthly_Payroll[0]
p1 | MaxLen - | Last name | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].Last_Name[0]
p1 | MaxLen - | First name | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].First_Name[0]
p1 | MaxLen - | Title | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].Title[0]
p1 | MaxLen - | Percent of ownership and annual salary | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].Percent_Ownership_Salary[0]
p1 | MaxLen - | Social Security Number | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].SocialSecurityNumber[0]
p1 | MaxLen - | Home address | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].Home_Address[0]
p1 | MaxLen - | Primary phone | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].PrimaryPhone[0]
p1 | MaxLen - | Secondary phone | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo1[0].SecondaryPhone[0]
p1 | MaxLen - | Last name | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo2[0].Last_Name[0]
p1 | MaxLen - | First name | topmostSubform[0].F433-B-OIC_Page1[0].PartnerInfo2[0].First_Name[0]
